Edad,Ingresos_Anuales,Puntuacion_Credito
32.0,55751.89,605.0
50.0,51974.81,562.0
37.0,64347.74,717.0
38.0,38117.28,584.0
40.0,39114.88,587.0
28.0,26269.51,609.0
59.0,54652.76,592.0
19.0,,404.0
32.0,28347.03,516.0
,40759.51,474.0
49.0,28412.06,588.0
32.0,28264.2,535.0
21.0,16572.3,428.0
45.0,32045.85,514.0
35.0,30345.03,
40.0,27834.43,549.0
46.0,45966.81,538.0
58.0,44921.02,619.0
50.0,59886.98,620.0
26.0,24585.9,398.0
50.0,59886.98,620.0
23.0,,503.0
34.0,16866.69,461.0
46.0,62367.15,714.0
26.0,,448.0
25.0,,546.0
43.0,53995.77,516.0
65.0,116440.97,693.0
19.0,,534.0
35.0,22869.55,444.0
31.0,67152.54,535.0
56.0,45082.48,556.0
57.0,53647.71,475.0
61.0,76980.34,575.0
32.0,18296.75,467.0
59.0,67400.64,619.0
19.0,42936.62,508.0
50.0,26530.45,474.0
39.0,33057.12,
28.0,20234.78,495.0
40.0,44670.87,559.0
61.0,76980.34,575.0
33.0,35719.97,553.0
65.0,35859.45,439.0
32.0,27116.3,516.0
36.0,18975.53,526.0
62.0,67009.4,663.0
56.0,53511.9,500.0
20.0,,606.0
31.0,34056.79,460.0
35.0,22869.55,444.0
52.0,39602.28,533.0
29.0,34298.3,557.0
26.0,24846.88,439.0
30.0,35331.96,428.0
61.0,58333.81,567.0
41.0,70569.88,621.0
22.0,,475.0
58.0,56862.5,451.0
38.0,14537.04,407.0
52.0,52957.29,561.0
50.0,45865.14,
61.0,64211.8,496.0
61.0,74014.97,591.0
20.0,,564.0
28.0,,574.0
32.0,19904.99,402.0
,35962.85,600.0
39.0,37707.39,428.0
49.0,21728.73,435.0
49.0,34459.11,588.0
35.0,38561.77,590.0
59.0,53823.13,520.0
57.0,37146.04,510.0
31.0,26503.5,529.0
35.0,30345.03,
59.0,64824.94,636.0
41.0,45275.18,616.0
41.0,25649.63,477.0
24.0,,
19.0,18624.5,514.0
33.0,16657.62,494.0
,66626.8,609.0
25.0,30158.79,432.0
47.0,38517.11,489.0
64.0,34977.29,473.0
22.0,,472.0
50.0,23288.04,396.0
24.0,,462.0
39.0,46142.93,576.0
62.0,39633.83,514.0
31.0,39195.98,539.0
41.0,25692.57,614.0
56.0,35377.37,444.0
,63982.18,673.0
45.0,45841.71,498.0
25.0,,584.0
,40660.03,504.0
50.0,61771.66,607.0
,66469.51,543.0
36.0,44184.81,491.0
26.0,,424.0
60.0,45059.53,550.0
58.0,44875.82,458.0
18.0,14315.06,447.0
45.0,29850.06,
